subject,predicate,object
Building11,rdf_Type,rec:Building
FirstFloor,rdf_Type,rec:level
SecondFloor,rdf_Type,rec:level
ThirdFloor,rdf_Type,rec:level
FourthFloor,rdf_Type,rec:level
110,rdf_Type,rec:Room
111,rdf_Type,rec:Room
112,rdf_Type,rec:Room
120,rdf_Type,rec:Room
121,rdf_Type,rec:Room
122,rdf_Type,rec:Room
210,rdf_Type,rec:Room
211,rdf_Type,rec:Room
212,rdf_Type,rec:Room
220,rdf_Type,rec:Room
221,rdf_Type,rec:Room
222,rdf_Type,rec:Room
310,rdf_Type,rec:Room
311,rdf_Type,rec:Room
312,rdf_Type,rec:Room
320,rdf_Type,rec:Room
321,rdf_Type,rec:Room
322,rdf_Type,rec:Room
410,rdf_Type,rec:Room
411,rdf_Type,rec:Room
412,rdf_Type,rec:Room
420,rdf_Type,rec:Room
421,rdf_Type,rec:Room
422,rdf_Type,rec:Room
:120_Tmp',rdf_Type,brick:Temperature_Sensor
:120_Tsp',rdf_Type,brick:Temperature_Setpoint
':211_Tmp',rdf_Type,brick:Temperature_Sensor
:211_Tsp',rdf_Type,brick:Temperature_Setpoint
:310_Tmp,rdf_Type,brick:Temperature_Sensor
:310_Mtn,rdf_Type,brick:Temperature_Setpoint
:411_Tmp,rdf_Type,brick:Temperature_Sensor
:411_Mtn,rdf_Type,brick:Temperature_Setpoint
Building11,rec_hasPart,FirstFloor
Building11,rec_hasPart,SecondFloor
Building11,rec_hasPart,ThirdFloor
Building11,rec_hasPart,FourthFloor
FirstFloor,rec_hasPart,110
FirstFloor,rec_hasPart,111
FirstFloor,rec_hasPart,112
FirstFloor,rec_hasPart,120
FirstFloor,rec_hasPart,121
FirstFloor,rec_hasPart,122
SecondFloor,rec_hasPart,210
SecondFloor,rec_hasPart,211
SecondFloor,rec_hasPart,212
SecondFloor,rec_hasPart,220
SecondFloor,rec_hasPart,221
SecondFloor,rec_hasPart,222
ThirdFloor,rec_hasPart,310
ThirdFloor,rec_hasPart,311
ThirdFloor,rec_hasPart,312
ThirdFloor,rec_hasPart,320
ThirdFloor,rec_hasPart,321
ThirdFloor,rec_hasPart,322
FourthFloor,rec_hasPart,410
FourthFloor,rec_hasPart,411
FourthFloor,rec_hasPart,412
FourthFloor,rec_hasPart,420
FourthFloor,rec_hasPart,421
FourthFloor,rec_hasPart,422
':120',brick_hasPoint,:120_Tmp
':120',brick_hasPoint,:120_Tsp
':211',brick_hasPoint,:211_Tmp
':211',brick_hasPoint,:211_Tsp
:310,brick_hasPoint,:310_Tmp
:310,brick_hasPoint,:310_Tsp
:411,brick_hasPoint,:411_Tmp
:411,brick_hasPoint,:411_Tsp
':120_Tmp','brick_lastKnownValue_brick_value',62
':120_Tmp',brick_lastKnownValue_brick_timestamp',2022-08-29T15:11:00Z
:120_Tsp','brick_lastKnownValue_brick_value',75
:120_Tsp','brick_lastKnownValue_brick_timestamp',2022-08-29T15:11:00Z
':211_Tmp','brick_lastKnownValue_brick_value',45
':211_Tmp','brick_lastKnownValue_brick_timestamp',2022-08-29T15:11:30Z
:211_Tsp','brick_lastKnownValue_brick_value',70
:211_Tsp','brick_lastKnownValue_brick_timestamp',2022-08-29T15:11:30Z
:310_Tmp,'brick_lastKnownValue_brick_value',58
:310_Tmp,'brick_lastKnownValue_brick_timestamp',2022-08-29T15:11:00Z
:310_Tsp,'brick_lastKnownValue_brick_value',72
:310_Tsp,'brick_lastKnownValue_brick_timestamp',2022-08-29T15:11:00Z
:411_Tmp,'brick_lastKnownValue_brick_value',65
:411_Tmp,'brick_lastKnownValue_brick_timestamp',2022-08-29T15:11:00Z
:411_Tsp,'brick_lastKnownValue_brick_value',70
:411_Tsp,'brick_lastKnownValue_brick_timestamp',2022-08-29T15:11:00Z
