subject,predicate,object
Building11,rdf_Type,rec:Building
Building11,rec_hasPart,FirstFloor
Building11,rec_hasPart,SecondFloor
Building11,rec_hasPart,ThirdFloor
Building11,rec_hasPart,FourthFloor
Building11,rec_geometry,"Latitude, Longitude"
FirstFloor,rdf_levelNumber,1
SecondFloor,rdf_levelNumber,2
ThirdFloor,rdf_levelNumber,3
FourthFloor,rdf_levelNumber,4
FirstFloor,rdf_Type,rec:level
SecondFloor,rdf_Type,rec:level
ThirdFloor,rdf_Type,rec:level
FourthFloor,rdf_Type,rec:level
FirstFloor,rec_hasPart,110
FirstFloor,rec_hasPart,111
FirstFloor,rec_hasPart,112
FirstFloor,rec_hasPart,120
FirstFloor,rec_hasPart,121
FirstFloor,rec_hasPart,122
SecondFloor,rec_hasPart,210
SecondFloor,rec_hasPart,211
SecondFloor,rec_hasPart,212
SecondFloor,rec_hasPart,220
SecondFloor,rec_hasPart,221
SecondFloor,rec_hasPart,222
ThirdFloor,rec_hasPart,310
ThirdFloor,rec_hasPart,311
ThirdFloor,rec_hasPart,312
ThirdFloor,rec_hasPart,320
ThirdFloor,rec_hasPart,321
ThirdFloor,rec_hasPart,322
FourthFloor,rec_hasPart,410
FourthFloor,rec_hasPart,411
FourthFloor,rec_hasPart,412
FourthFloor,rec_hasPart,420
FourthFloor,rec_hasPart,421
FourthFloor,rec_hasPart,422
110,rdf_Type,rec:Room
111,rdf_Type,rec:Room
112,rdf_Type,rec:Room
120,rdf_Type,rec:Room
121,rdf_Type,rec:Room
122,rdf_Type,rec:Room
210,rdf_Type,rec:Room
211,rdf_Type,rec:Room
212,rdf_Type,rec:Room
220,rdf_Type,rec:Room
221,rdf_Type,rec:Room
222,rdf_Type,rec:Room
310,rdf_Type,rec:Room
311,rdf_Type,rec:Room
312,rdf_Type,rec:Room
320,rdf_Type,rec:Room
321,rdf_Type,rec:Room
322,rdf_Type,rec:Room
410,rdf_Type,rec:Room
411,rdf_Type,rec:Room
412,rdf_Type,rec:Room
420,rdf_Type,rec:Room
421,rdf_Type,rec:Room
422,rdf_Type,rec:Room
